amount,merchant,country,card_last4,is_fraud
11.95,streaming,US,2286,0
271.33,utilities,US,6912,0
6435.84,gift-cards,FR,0434,1
286.98,pharmacy,GB,3611,0
112.72,grocery,FR,2615,0
137.42,coffee-shop,US,5514,0
153.21,streaming,JP,9891,0
19.29,ride-share,GB,6201,0
1257.75,utilities,IR,9459,1
29.68,pharmacy,US,4741,0
342.42,grocery,US,7428,0
147.2,streaming,US,4374,0
274.05,grocery,GB,2803,0
99.43,ride-share,US,9125,0
131.06,grocery,US,0525,0
161.66,grocery,US,9292,0
127.24,pharmacy,CA,7517,0
57.57,pharmacy,GB,4304,0
172.52,utilities,US,3593,0
57.06,ride-share,US,0771,0
62.83,coffee-shop,FR,6916,0
155.14,utilities,AU,8669,0
222.18,grocery,DE,1876,0
215.71,streaming,FR,5573,0
175.04,ride-share,US,4315,0
305.26,utilities,AU,4889,0
204.05,coffee-shop,US,2646,0
311.89,utilities,AU,9813,0
9.75,streaming,JP,5038,0
97.87,utilities,AU,1403,0
326.78,utilities,FR,2103,0
378.85,coffee-shop,US,9938,0
86.3,utilities,FR,3295,0
160.8,pharmacy,DE,7177,0
181.69,coffee-shop,US,5539,0
1532.83,luxury-goods,US,0964,1
362.36,streaming,US,3899,0
195.19,utilities,US,9355,0
98.71,ride-share,FR,3119,0
264.28,streaming,CA,7651,0
23.56,pharmacy,AU,1612,0
1216.84,grocery,NK,3139,1
180.55,ride-share,US,7579,0
369.46,ride-share,FR,9016,0
261.55,utilities,JP,1528,0
339.78,coffee-shop,CA,7886,0
161.61,grocery,US,0035,0
107.55,ride-share,US,9105,0
195.7,coffee-shop,US,0958,0
217.79,pharmacy,US,0821,0
202.13,utilities,US,8320,0
75.96,utilities,US,3853,0
376.76,utilities,US,9740,0
9404.53,gift-cards,GB,4272,1
287.04,coffee-shop,US,2144,0
121.4,streaming,AU,1188,0
4284.26,ride-share,FR,4345,1
140.91,grocery,JP,6054,0
176.4,utilities,DE,8666,0
1403.09,grocery,NK,4333,1
44.6,utilities,US,4616,0
287.61,coffee-shop,DE,4325,0
101.95,grocery,US,6939,0
19.55,streaming,FR,4291,0
177.85,pharmacy,CA,0158,0
378.13,pharmacy,AU,8938,0
907.16,coffee-shop,IR,2088,1
1356.55,grocery,IR,3441,1
267.44,streaming,FR,6658,0
300.29,coffee-shop,JP,2900,0
11.86,pharmacy,AU,6745,0
345.9,coffee-shop,US,1771,0
17.41,ride-share,US,7541,0
328.57,coffee-shop,US,3164,0
112.88,grocery,AU,4573,0
204.74,pharmacy,AU,8785,0
12.99,streaming,US,4349,0
9530.99,crypto-exchange,IR,9932,1
48.03,utilities,US,0727,0
2.67,utilities,DE,3228,0
29.85,pharmacy,AU,5143,0
51.6,streaming,CA,6691,0
279.49,utilities,US,6888,0
152.9,pharmacy,AU,9324,0
220.08,grocery,US,3443,0
232.83,pharmacy,US,7238,0
87.05,ride-share,FR,2780,0
114.95,pharmacy,GB,5491,0
380.9,coffee-shop,DE,3680,0
60.65,grocery,US,7784,0
307.86,ride-share,CA,9431,0
279.15,ride-share,US,2417,0
4.21,grocery,FR,3585,0
383.27,utilities,CA,9132,0
339.64,ride-share,US,7612,0
395.18,utilities,US,7251,0
288.27,utilities,CA,8976,0
65.34,ride-share,CA,4050,0
112.37,utilities,CA,3919,0
32.84,streaming,US,5502,0
216.98,coffee-shop,US,6275,0
283.15,grocery,CA,5421,0
167.48,coffee-shop,JP,6381,0
234.46,pharmacy,US,9432,0
4.35,streaming,US,6389,0
381.47,ride-share,GB,8947,0
359.33,ride-share,US,7140,0
156.77,pharmacy,DE,6624,0
336.52,coffee-shop,AU,8751,0
13470.28,gift-cards,NK,1375,1
56.01,ride-share,US,4262,0
86.24,streaming,US,6211,0
380.58,ride-share,US,1341,0
300.11,grocery,AU,5733,0
29.31,pharmacy,US,0508,0
81.35,grocery,GB,3908,0
268.44,utilities,AU,7619,0
307.23,coffee-shop,GB,1876,0
67.18,streaming,US,0420,0
231.17,ride-share,US,3249,0
389.47,crypto-exchange,AU,9837,1
318.9,utilities,FR,5688,0
265.29,grocery,CA,5590,0
17157.29,luxury-goods,IR,5934,1
331.83,pharmacy,US,2885,0
386.26,streaming,GB,8817,0
187.02,pharmacy,GB,5280,0
332.63,grocery,US,7385,0
186.95,utilities,DE,5511,0
338.21,coffee-shop,IR,4232,1
352.37,pharmacy,JP,9106,0
351.19,gift-cards,DE,8004,1
97.65,ride-share,DE,8041,0
8.86,streaming,US,3986,0
233.46,ride-share,GB,5632,0
298.88,streaming,US,7434,0
102.06,grocery,DE,5169,0
215.27,pharmacy,US,3545,0
112.05,utilities,AU,8595,0
392.24,coffee-shop,US,5912,0
7.63,utilities,US,0745,0
222.24,pharmacy,AU,8042,0
6.88,streaming,CA,7216,0
386.27,streaming,AU,7827,0
28.01,ride-share,US,0878,0
324.83,streaming,US,4066,0
306.25,utilities,GB,3697,0
153.39,ride-share,US,9642,0
123.54,utilities,US,1625,0
84.7,coffee-shop,US,1330,0
71.18,grocery,US,6693,0
238.34,streaming,US,4720,0
281.79,ride-share,US,3824,0
315.56,pharmacy,GB,3241,0
218.74,pharmacy,US,4352,0
30.42,coffee-shop,FR,9749,0
228.54,streaming,CA,7679,0
280.49,streaming,CA,8090,0
240.02,ride-share,DE,9891,0
38.35,pharmacy,JP,9424,0
10.26,pharmacy,JP,9441,0
1255.68,gift-cards,DE,4557,1
234.96,pharmacy,FR,1494,0
164.52,streaming,DE,2634,0
278.08,streaming,DE,6561,0
220.94,ride-share,US,4135,0
388.13,ride-share,JP,0018,0
217.95,ride-share,US,8494,0
303.06,pharmacy,CA,0845,0
220.59,streaming,CA,7941,0
389.31,utilities,FR,2594,0
7.44,ride-share,US,1858,0
48.75,coffee-shop,CA,4781,0
110.82,ride-share,AU,3993,0
59.57,coffee-shop,AU,8327,0
56.33,grocery,US,6798,0
315.51,streaming,JP,4634,0
335.32,utilities,AU,8022,0
179.73,ride-share,US,9042,0
152.13,streaming,JP,3912,0
94.96,ride-share,US,7749,0
324.94,ride-share,AU,2492,0
16.73,utilities,AU,5439,0
349.93,ride-share,US,7486,0
1113.45,gift-cards,CA,1225,1
387.74,streaming,GB,6512,0
341.0,pharmacy,JP,6226,0
251.47,ride-share,JP,0588,0
95.44,pharmacy,AU,3727,0
174.72,grocery,FR,1646,0
278.21,grocery,US,0919,0
151.19,coffee-shop,US,6751,0
317.42,coffee-shop,US,9985,0
248.64,coffee-shop,CA,9554,0
185.54,streaming,CA,0153,0
187.17,streaming,DE,2588,0
1482.47,streaming,IR,4097,1
122.24,ride-share,JP,1747,0
229.63,utilities,US,4837,0
8391.69,gift-cards,NK,9935,1
333.47,streaming,FR,3770,0
142.22,pharmacy,US,4106,0
288.93,pharmacy,DE,2240,0
361.55,pharmacy,US,7222,0
1119.95,grocery,IR,5352,1
71.9,coffee-shop,FR,5994,0
365.57,coffee-shop,US,7894,0
119.47,streaming,FR,7673,0
58.02,coffee-shop,JP,6511,0
322.23,streaming,US,6464,0
